Feature_ID,Feature Requested,Customer_First,Business_First,Balanced
F014,AI Summary Assistant,5.337857142857143,4.052142857142857,4.480714285714286
F006,API Rate Limit Increase,9.031538461538462,6.054615384615385,7.046923076923077
F001,Advanced Analytics Dashboard,5.89875,4.28625,4.82375
F011,Audit Logs,10.220666666666668,6.580666666666667,7.794
F013,Billing Alerts,5.494285714285715,4.422857142857143,4.78
F004,Bulk Export,4.125,3.225,3.525
F007,Custom Reports,2.965,3.165,3.0983333333333336
F002,Dark Mode,5.9575,4.495,4.9825
F009,Faster Search,3.53625,3.3112500000000002,3.3862500000000004
F005,Mobile App Improvements,9.495357142857143,6.131071428571429,7.252500000000001
F015,Multi-language Support,6.088125,4.7006250000000005,5.163125000000001
F012,Onboarding Improvements,4.474166666666666,3.0741666666666663,3.5408333333333335
F010,Role-Based Permissions,4.252,3.7720000000000002,3.9320000000000004
F003,SSO & SCIM,4.715833333333332,3.815833333333333,4.115833333333334
F008,Slack Integration,7.559545454545455,5.050454545454546,5.886818181818183
