Feedback ID,Customer ID,Customer Name,Customer Segment,Industry,Subscription Plan,Feedback Date,Feedback Source,Feedback Type,Feedback Text,Product Area,Feature Requested,Pain Point Category,Severity Level,Sentiment Score,Customer Satisfaction Score,NPS Score,Frequency of Similar Requests,Revenue Impact,Retention Risk,Business Value Score,Customer Impact Score,Strategic Alignment Score,Development Effort,Priority Score,Roadmap Decision,Roadmap Quarter,Feedback Status
FB001,CUST1014,Customer 15,Startup,Retail,Starter,2026-06-04,Customer Interview,Feature Request,The mobile experience needs a cleaner workflow and faster loading.,UI/UX,Mobile App Improvements,Missing Capability,High,-0.01,3,7,7,Medium,High,1,5,4,Low,9.84,Roadmap / Prioritize,Q4,New
FB002,CUST1014,Customer 49,SMB,Healthcare,Pro,2026-01-27,Survey,Integration Request,New users are struggling to understand the first setup steps. We would consider broader adoption if this were improved.,UI/UX,Onboarding Improvements,Integration Gap,Medium,0.63,4,41,29,Medium,High,1,2,4,Low,10.0,Roadmap / Prioritize,Q2,Under Review
FB003,CUST1040,Customer 57,SMB,Healthcare,Pro,2026-05-28,Support Ticket,Bug,We are seeing repeated issues here and it is affecting daily workflows.,API,API Rate Limit Increase,Reliability,High,0.29,4,15,3,High,Medium,4,1,5,Low,9.5,Roadmap / Prioritize,Q3,Closed
FB004,CUST1043,Customer 18,Startup,Professional Services,Starter,2026-06-24,Product Usage,Feature Request,Exporting large datasets one by one is slowing our reporting process. This would make the workflow more efficient for our team.,Data Export,Bulk Export,Missing Capability,Low,0.6,4,37,15,High,Low,4,3,2,Medium,9.02,Roadmap / Prioritize,Q2,Under Review
FB005,CUST1015,Customer 53,Enterprise,SaaS,Enterprise,2026-07-26,App Store Review,Pricing Feedback,Searching large workspaces takes too long. We would consider broader adoption if this were improved.,Search,Faster Search,Pricing,High,-0.08,2,-26,30,Low,High,5,2,3,High,8.96,Roadmap / Prioritize,Q2,New
FB006,CUST1036,Customer 35,SMB,Healthcare,Pro,2026-07-11,Community Forum,Feature Request,International users need localized navigation and help content. We would consider broader adoption if this were improved.,Localization,Multi-language Support,Missing Capability,Low,0.29,3,24,21,Low,Medium,4,2,3,Low,8.66,Roadmap / Prioritize,Q1,Closed
FB007,CUST1028,Customer 39,SMB,SaaS,Pro,2026-04-09,Sales Feedback,Performance Issue,Our integrations hit API limits during peak processing windows. The current experience is causing avoidable friction.,API,API Rate Limit Increase,Performance,Low,0.2,3,31,9,Medium,Low,1,1,2,Medium,4.31,Monitor,Q3,Closed
FB008,CUST1011,Customer 30,SMB,SaaS,Pro,2026-07-04,Product Review,Usability Issue,We are seeing repeated issues here and it is affecting daily workflows.,UI/UX,Mobile App Improvements,Usability,Low,0.39,4,10,1,Medium,Low,5,3,3,Low,9.04,Roadmap / Prioritize,Q4,Accepted
FB009,CUST1050,Customer 60,Free,Retail,Free,2026-01-01,Community Forum,Customer Experience Issue,Searching large workspaces takes too long.,Search,Faster Search,Experience,Low,0.3,4,7,20,High,Medium,2,2,3,Medium,8.45,Roadmap / Prioritize,Q2,Planned
FB010,CUST1049,Customer 35,Mid-Market,FinTech,Business,2026-02-02,Product Usage,Feature Request,International users need localized navigation and help content. This would make the workflow more efficient for our team.,Localization,Multi-language Support,Missing Capability,Low,0.56,4,35,20,Low,Low,5,1,1,Medium,6.24,Roadmap / Evaluate,Q1,New
FB011,CUST1024,Customer 29,SMB,Retail,Pro,2026-04-26,Survey,Performance Issue,We are seeing repeated issues here and it is affecting daily workflows.,UI/UX,Mobile App Improvements,Performance,Low,0.28,4,20,28,Very High,High,2,3,4,High,10.0,Roadmap / Prioritize,Q4,Closed
FB012,CUST1005,Customer 33,Mid-Market,FinTech,Business,2026-03-13,Product Usage,Feature Request,We need deeper analytics and trend visibility for product reviews. We would consider broader adoption if this were improved.,Analytics,Advanced Analytics Dashboard,Missing Capability,Medium,-0.1,3,-21,15,Low,Medium,1,2,1,High,3.37,Monitor,Q3,Analyzed
FB013,CUST1028,Customer 27,SMB,Education,Pro,2026-08-10,Customer Interview,Performance Issue,We are seeing repeated issues here and it is affecting daily workflows.,UI/UX,Onboarding Improvements,Performance,Medium,0.26,2,2,16,High,High,2,1,1,Medium,7.1,Roadmap / Prioritize,Q2,Analyzed
FB014,CUST1012,Customer 18,Startup,Education,Starter,2026-03-05,Survey,Positive Feedback,"A dark mode would make long working sessions easier on the eyes. Overall, this part of the product is working very well.",UI/UX,Dark Mode,Strength,Medium,0.84,5,57,22,High,Low,2,2,5,Medium,9.22,Roadmap / Prioritize,Q2,Accepted
FB015,CUST1056,Customer 26,SMB,SaaS,Pro,2026-02-12,Sales Feedback,Product Enhancement,Searching large workspaces takes too long.,Search,Faster Search,Workflow Improvement,Critical,-0.53,1,-46,35,High,High,2,2,4,Medium,10.0,Roadmap / Prioritize,Q2,Under Review
FB016,CUST1004,Customer 04,Enterprise,Retail,Enterprise,2026-05-03,Social Media,Bug,International users need localized navigation and help content. Please improve this before the next release.,Localization,Multi-language Support,Reliability,High,-0.28,3,-15,32,Low,Low,1,5,5,Low,9.63,Roadmap / Prioritize,Q1,Analyzed
FB017,CUST1016,Customer 38,Free,Retail,Free,2026-01-11,Community Forum,Performance Issue,We are seeing repeated issues here and it is affecting daily workflows.,Analytics,Advanced Analytics Dashboard,Performance,High,-0.64,2,-50,12,Low,Low,2,4,1,High,4.18,Monitor,Q3,Planned
FB018,CUST1020,Customer 30,Enterprise,Healthcare,Enterprise,2026-07-12,Survey,Integration Request,We need more granular permissions for different teams. We would consider broader adoption if this were improved.,Security,Role-Based Permissions,Integration Gap,High,-0.34,3,-11,17,Low,Medium,2,3,4,Low,7.85,Roadmap / Prioritize,Q3,Closed
FB019,CUST1029,Customer 54,Enterprise,Retail,Enterprise,2026-06-30,Product Review,Pricing Feedback,We need more granular permissions for different teams.,Security,Role-Based Permissions,Pricing,High,0.11,3,4,14,Medium,Low,3,1,2,Medium,6.02,Roadmap / Evaluate,Q3,Under Review
FB020,CUST1036,Customer 10,SMB,Healthcare,Pro,2026-03-14,Community Forum,Positive Feedback,"We need a complete audit trail for compliance reviews. Overall, this part of the product is working very well.",Security,Audit Logs,Strength,Medium,0.87,4,58,20,Very High,Low,2,3,1,High,7.6,Roadmap / Prioritize,Q4,Closed
