Feature_ID,Feature_Name,Planned_Release,Business_Value,Status
F001,Advanced Analytics Dashboard,Q3,5,Planned
F002,Dark Mode,Q2,3,In Progress
F003,SSO & SCIM,Q3,5,Planned
F004,Bulk Export,Q2,4,In Progress
F005,Mobile App Improvements,Q4,4,Planned
F006,API Rate Limit Increase,Q3,5,Planned
F007,Custom Reports,Q4,4,Planned
F008,Slack Integration,Q3,3,Planned
F009,Faster Search,Q2,5,In Progress
F010,Role-Based Permissions,Q3,5,Planned
F011,Audit Logs,Q4,4,Planned
F012,Onboarding Improvements,Q2,4,In Progress
F013,Billing Alerts,Q4,3,Planned
F014,AI Summary Assistant,Q1,5,Released
F015,Multi-language Support,Q1,3,Released
